,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-21 17:16:33,2022-03-18,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$136.21,-1210,46829,-3%,"-$164,814",,,,,TAP+A
1,,2021-12-30 19:21:38,2021-12-29,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale,$161.00,-3669,85405,-4%,"-$590,709",,,,,TAP+A
2,,2021-12-21 14:36:19,2021-12-20,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$148.82,-123459,191187,-39%,"-$18,373,168",,,,,TAP+A
3,A,2021-12-17 10:24:06,2021-11-30,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,$152.04,-699,32766,-2%,"-$106,274",,,,,TAP+A
4,,2021-12-06 17:57:26,2021-12-02,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,$151.89,-800,42553,-2%,"-$121,512",,,,,TAP+A
5,,2021-12-02 14:26:09,2021-11-30,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,$152.04,-669,42553,-2%,"-$101,713",,,,,TAP+A
6,,2021-11-23 12:59:52,2021-11-19,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,$165.00,-1500,18997,-7%,"-$247,500",,,,,TAP+A
7,,2021-11-05 16:38:34,2021-11-04,TAP,Molson Coors Beverage Co,Winnefeld James A Jr,Dir,P - Purchase,$45.47,200,10170,+2%,"+$9,093",,,,,TAP+A
8,,2021-09-10 08:00:20,2021-09-08,TAP,Molson Coors Beverage Co,Vachon Louis,Dir,P - Purchase,$46.04,3000,31837,+10%,"+$138,120",,,,,TAP+A
9,D,2021-08-20 11:28:22,2021-08-18,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$165.06,-9033,81420,-10%,"-$1,490,942",,,,,TAP+A
10,D,2021-08-09 15:54:09,2021-08-05,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$155.00,-9033,81420,-10%,"-$1,400,115",,,,,TAP+A
11,D,2021-06-21 17:18:15,2021-06-17,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$145.10,-1968,81420,-2%,"-$285,563",,,,,TAP+A
12,DM,2021-06-17 12:16:36,2021-06-15,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$145.02,-7065,81420,-8%,"-$1,024,571",,,,,TAP+A
13,D,2021-06-17 12:13:23,2021-06-14,A,"Agilent Technologies, Inc.",Ancher-Jensen Henrik,SVP,S - Sale+OE,$143.66,-43731,76902,-36%,"-$6,282,527",,,,,TAP+A
14,,2021-06-14 12:18:35,2021-06-10,A,"Agilent Technologies, Inc.",Thaysen Jacob,SVP,S - Sale,$142.90,-16289,83423,-16%,"-$2,327,698",,,,,TAP+A
15,,2021-06-01 18:19:03,2021-05-28,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,$138.42,-1000,16916,-6%,"-$138,420",,,,,TAP+A
16,,2021-06-01 18:18:10,2021-05-27,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$136.15,-13465,39579,-25%,"-$1,833,351",,,,,TAP+A
17,,2021-04-26 17:59:27,2021-04-23,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$137.00,-500,53030,-1%,"-$68,500",,,,,TAP+A
18,,2021-04-26 17:58:20,2021-04-22,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$135.00,-9053,261105,-3%,"-$1,222,155",,,,,TAP+A
19,,2021-04-15 18:47:24,2021-04-13,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$132.50,-8966,270158,-3%,"-$1,187,995",,,,,TAP+A
20,,2021-04-12 19:01:19,2021-04-08,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$130.26,-15095,279124,-5%,"-$1,966,275",,,,,TAP+A
21,,2021-04-01 17:48:06,2021-03-31,A,"Agilent Technologies, Inc.",Raha Samraat S.,SVP,S - Sale,$127.50,-1000,53936,-2%,"-$127,500",,,,,TAP+A
22,D,2021-02-26 08:39:34,2021-02-24,TAP,Molson Coors Beverage Co,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$46.62,-10653,41438,-20%,"-$496,615",,,,,TAP+A
23,,2021-02-24 17:54:23,2021-02-22,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,$124.17,-5000,41229,-11%,"-$620,850",,,,,TAP+A
24,M,2021-02-18 18:48:28,2021-02-16,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$131.16,-1000,53530,-2%,"-$131,155",,,,,TAP+A
25,,2021-02-18 18:33:50,2021-02-16,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$130.00,-20766,294219,-7%,"-$2,699,580",,,,,TAP+A
26,DM,2021-02-18 18:31:51,2021-02-16,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$133.59,-19786,81326,-20%,"-$2,643,281",,,,,TAP+A
27,,2021-02-12 17:00:41,2021-02-12,TAP,Molson Coors Beverage Co,Winnefeld James A Jr,Dir,P - Purchase,$44.49,1000,7442,+16%,"+$44,490",,,,,TAP+A
28,M,2021-02-03 13:28:20,2021-02-01,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$122.57,-63190,314985,-17%,"-$7,745,187",,,,,TAP+A
29,,2021-01-19 17:01:59,2021-01-14,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$127.27,-500,54880,-1%,"-$63,635",,,,,TAP+A
30,,2020-12-02 20:17:31,2020-12-01,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$115.63,-85842,415347,-17%,"-$9,925,910",,,,,TAP+A
31,,2020-12-02 20:16:19,2020-11-30,A,"Agilent Technologies, Inc.",Koh Boon Hwee,Dir,S - Sale,$114.51,-20000,68051,-23%,"-$2,290,200",,,,,TAP+A
32,,2020-11-25 17:00:11,2020-11-24,TAP,Molson Coors Beverage Co,Molson Andrew Thomas,Chairman of the Board,S - Sale,$47.12,-3238,13740,-19%,"-$152,571",,,,,TAP+A
33,,2020-11-12 13:31:34,2020-11-09,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$116.16,-2222,56807,-4%,"-$258,108",,,,,TAP+A
34,,2020-11-09 14:33:48,2020-11-05,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$111.00,-1111,59029,-2%,"-$123,321",,,,,TAP+A
35,M,2020-11-05 15:45:58,2020-11-03,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$107.47,-2222,60140,-4%,"-$238,787",,,,,TAP+A
36,,2020-11-04 17:00:16,2020-11-04,TAP,Molson Coors Beverage Co,Winnefeld James A Jr,Dir,P - Purchase,$36.90,1000,6442,+18%,"+$36,900",,,,,TAP+A
37,M,2020-11-03 15:41:29,2020-10-30,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$102.21,-4444,62362,-7%,"-$454,210",,,,,TAP+A
38,D,2020-10-30 15:48:50,2019-12-20,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale+OE,$85.00,-24636,549662,-4%,"-$2,094,060",,,,,TAP+A
39,D,2020-10-13 14:32:32,2020-10-09,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$105.00,-6485,97669,-6%,"-$680,925",,,,,TAP+A
40,,2020-09-15 17:30:17,2020-09-14,TAP,Molson Coors Beverage Co,Vachon Louis,Dir,P - Purchase,$35.28,3000,26467,+13%,"+$105,837",,,,,TAP+A
41,D,2020-09-01 17:19:53,2020-08-31,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$100.00,-6485,97669,-6%,"-$648,500",,,,,TAP+A
42,D,2020-08-27 12:15:52,2020-08-25,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale+OE,$98.17,-6191,42143,-13%,"-$607,752",,,,,TAP+A
43,D,2020-08-03 14:42:36,2020-07-30,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale+OE,$95.76,-72716,502499,-13%,"-$6,963,575",,,,,TAP+A
44,A,2020-07-31 15:34:16,2020-06-04,A,"Agilent Technologies, Inc.",Fields Heidi,Dir,S - Sale,$91.00,-10392,53639,-16%,"-$945,662",,,,,TAP+A
45,,2020-06-08 14:08:46,2020-06-04,A,"Agilent Technologies, Inc.",Fields Heidi,Dir,S - Sale,$91.00,-10392,53509,-16%,"-$945,662",,,,,TAP+A
46,D,2020-05-28 19:04:40,2020-05-27,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale+OE,$85.30,-4566,42143,-10%,"-$389,499",,,,,TAP+A
47,,2020-05-28 19:03:04,2020-05-26,A,"Agilent Technologies, Inc.",Thaysen Jacob,SVP,S - Sale,$86.53,-8000,102806,-7%,"-$692,240",,,,,TAP+A
48,D,2020-05-28 19:02:09,2020-05-26,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$86.56,-9033,97669,-8%,"-$781,896",,,,,TAP+A
49,,2020-05-19 15:36:22,2020-05-15,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$82.50,-6917,504642,-1%,"-$570,653",,,,,TAP+A
50,,2020-05-11 13:42:02,2020-05-08,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$80.00,-18018,511559,-3%,"-$1,441,440",,,,,TAP+A
51,,2020-04-30 14:55:50,2020-04-29,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$78.72,-13603,529245,-3%,"-$1,070,774",,,,,TAP+A
52,,2020-04-28 16:58:25,2020-04-27,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,$76.20,-8814,542848,-2%,"-$671,583",,,,,TAP+A
53,D,2020-03-06 17:00:16,2020-03-04,TAP,Molson Coors Beverage Co,Coors Peter H,"Vice Chairman of the Board, 10%",S - Sale+OE,$51.22,-67079,14503405,0%,"-$3,435,786",,,,,TAP+A
54,,2020-03-04 14:09:56,2020-03-03,A,"Agilent Technologies, Inc.",Doak Mark,SVP,S - Sale,$83.81,-3494,135678,-3%,"-$292,832",,,,,TAP+A
55,,2020-03-03 13:48:33,2020-03-02,A,"Agilent Technologies, Inc.",Doak Mark,SVP,S - Sale,$82.00,-2867,139172,-2%,"-$235,094",,,,,TAP+A
56,,2020-02-27 13:58:57,2020-02-25,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",S - Sale,$80.02,-1000,43421,-2%,"-$80,024",,,,,TAP+A
57,D,2020-02-18 17:00:16,2020-02-14,TAP,Molson Coors Beverage Co,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$54.98,-8991,34154,-21%,"-$494,322",,,,,TAP+A
58,D,2020-01-22 11:27:16,2020-01-17,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$90.00,-9033,97497,-8%,"-$812,970",,,,,TAP+A
59,,2020-01-14 12:03:57,2020-01-10,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$87.72,-5000,67167,-7%,"-$438,600",,,,,TAP+A
60,,2020-01-02 14:40:34,2019-12-30,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,$85.34,-5000,72167,-6%,"-$426,700",,,,,TAP+A
61,D,2019-12-20 16:38:53,2019-12-20,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale+OE,$85.00,-3364,77167,-4%,"-$285,940",,,,,TAP+A
62,DM,2019-12-13 19:08:20,2019-11-25,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale+OE,$81.45,-49272,551662,-8%,"-$4,013,204",,,,,TAP+A
63,D,2019-12-13 19:06:50,2019-12-12,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale+OE,$84.00,-7712,97497,-7%,"-$647,808",,,,,TAP+A
64,,2019-12-13 19:05:28,2019-12-12,A,"Agilent Technologies, Inc.",Doak Mark,SVP,S - Sale,$84.50,-8016,142017,-5%,"-$677,386",,,,,TAP+A
65,,2019-12-12 20:37:28,2019-12-11,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale,$82.85,-15000,97498,-13%,"-$1,242,690",,,,,TAP+A
66,D,2019-12-12 20:36:27,2019-12-10,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale+OE,$82.90,-3364,77168,-4%,"-$278,876",,,,,TAP+A
67,,2019-09-24 16:44:14,2019-09-20,A,"Agilent Technologies, Inc.",Fields Heidi,Dir,S - Sale,$78.56,-4000,60598,-6%,"-$314,256",,,,,TAP+A
68,,2019-09-17 17:00:35,2019-09-13,TAP,Molson Coors Brewing Co,Tabolt Brian,"VP,Controller, Chf Acct Off",S - Sale,$56.94,-1825,6218,-23%,"-$103,916",,,,,TAP+A
69,D,2019-09-16 17:02:16,2019-09-12,A,Agilent Technologies Inc,McMullen Michael R.,"CEO, Pres",S - Sale+OE,$77.50,-24635,439314,-5%,"-$1,909,213",,,,,TAP+A
70,,2019-09-04 18:06:04,2019-08-30,A,Agilent Technologies Inc,Fields Heidi,Dir,S - Sale,$70.96,-4000,64598,-6%,"-$283,856",,,,,TAP+A
71,D,2019-05-09 17:30:13,2019-05-07,TAP,Molson Coors Brewing Co,Hunter Mark,"Pres, CEO",S - Sale+OE,$60.06,-11287,155456,-7%,"-$677,897",,,,,TAP+A
72,D,2019-03-28 13:44:11,2019-03-27,A,Agilent Technologies Inc,Tang Michael,"SVP, GC,, Sec.",S - Sale+OE,$80.50,-6728,57065,-11%,"-$541,604",,,,,TAP+A
73,,2019-03-27 14:28:43,2019-03-27,A,Agilent Technologies Inc,Clark Paul N,Dir,S - Sale,$80.31,-2823,88857,-3%,"-$226,715",,,,,TAP+A
74,D,2019-03-07 19:04:33,2019-03-06,A,Agilent Technologies Inc,Gonsalves Rodney,"VP, Corporate Controller",S - Sale+OE,$79.79,-6155,32725,-16%,"-$491,107",,,,,TAP+A
75,,2019-03-05 14:35:58,2019-03-01,A,Agilent Technologies Inc,McMullen Michael R.,"CEO, Pres",S - Sale,$80.00,-8745,438939,-2%,"-$699,600",,,,,TAP+A
76,D,2019-03-05 14:23:55,2019-03-01,A,Agilent Technologies Inc,Grau Dominique,SVP,S - Sale+OE,$80.00,-7711,94485,-8%,"-$616,880",,,,,TAP+A
77,D,2019-02-25 16:20:29,2019-02-22,A,Agilent Technologies Inc,Doak Mark,SVP,S - Sale+OE,$77.95,-16421,115360,-12%,"-$1,280,017",,,,,TAP+A
78,D,2019-02-21 15:30:15,2019-02-19,TAP,Molson Coors Brewing Co,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$60.69,-9497,27241,-26%,"-$576,348",,,,,TAP+A
79,,2019-02-19 15:40:19,2019-02-15,A,Agilent Technologies Inc,McMullen Michael R.,"CEO, Pres",S - Sale,$77.67,-8746,447684,-2%,"-$679,302",,,,,TAP+A
80,D,2019-02-14 09:36:55,2019-02-12,A,Agilent Technologies Inc,Grau Dominique,SVP,S - Sale+OE,$77.00,-8902,94485,-9%,"-$685,454",,,,,TAP+A
81,,2019-01-31 14:03:39,2019-01-30,A,Agilent Technologies Inc,McMullen Michael R.,"CEO, Pres",S - Sale,$75.00,-17491,456430,-4%,"-$1,311,825",,,,,TAP+A
82,,2018-12-07 14:01:16,2018-12-04,A,Agilent Technologies Inc,McMullen Michael R.,"CEO, Pres",S - Sale,$75.00,-17949,474597,-4%,"-$1,346,175",,,,,TAP+A
83,D,2018-12-04 18:21:00,2018-12-03,A,Agilent Technologies Inc,Grau Dominique,SVP,S - Sale+OE,$74.00,-8902,94485,-9%,"-$658,748",,,,,TAP+A
84,,2018-12-04 18:18:46,2018-12-03,A,Agilent Technologies Inc,McMullen Michael R.,"CEO, Pres",S - Sale,$73.20,-15923,492546,-3%,"-$1,165,564",,,,,TAP+A
85,D,2018-12-04 17:40:58,2018-12-03,TAP,Molson Coors Brewing Co,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.75,-2595,47351,-5%,"-$168,031",,,,,TAP+A
86,,2018-11-29 14:21:08,2018-11-28,A,Agilent Technologies Inc,Gonsalves Rodney,"VP, Corporate Controller",S - Sale,$71.06,-1500,34363,-4%,"-$106,590",,,,,TAP+A
87,D,2018-11-05 17:00:38,2018-11-01,TAP,Molson Coors Brewing Co,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.81,-2595,47351,-5%,"-$168,186",,,,,TAP+A
88,DM,2018-10-10 18:30:13,2018-06-01,TAP,Molson Coors Brewing Co,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.67,-5190,47351,-10%,"-$335,611",,,,,TAP+A
89,D,2018-10-03 17:30:15,2018-10-01,TAP,Molson Coors Brewing Co,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$61.42,-2595,47351,-5%,"-$159,385",,,,,TAP+A
90,,2018-09-14 15:02:37,2018-09-13,A,Agilent Technologies Inc,Clark Paul N,Dir,S - Sale,$68.60,-2876,88451,-3%,"-$197,294",,,,,TAP+A
91,D,2018-09-13 09:44:32,2018-09-11,A,Agilent Technologies Inc,Fields Heidi,Dir,S - Sale+OE,$67.73,-5482,65290,-8%,"-$371,296",,,,,TAP+A
92,D,2018-09-06 17:00:17,2018-09-04,TAP,Molson Coors Brewing Co,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$66.26,-2595,47351,-5%,"-$171,944",,,,,TAP+A
93,D,2018-08-03 17:00:13,2018-08-01,TAP,Molson Coors Brewing Co,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.96,-2595,47351,-5%,"-$168,576",,,,,TAP+A
94,D,2018-06-13 17:50:14,2018-06-11,A,Agilent Technologies Inc,Fields Heidi,Dir,S - Sale+OE,$66.48,-5000,65170,-7%,"-$332,375",,,,,TAP+A
95,D,2018-06-13 17:48:06,2018-06-12,A,Agilent Technologies Inc,Koh Boon Hwee,Dir,S - Sale+OE,$66.38,-6931,83643,-8%,"-$460,099",,,,,TAP+A
