,Date,Open,High,Low,Close,Adj Close,Volume,ticker,MarketCap,Returns
0,2021-06-29,9.91,9.95,9.86,9.91,9.91,1170700,GOBI,11601637.0,
1,2021-06-30,9.85,9.91,9.81,9.85,9.85,31000,GOBI,305350.0,-0.006054490413723523
2,2021-07-01,9.8,9.905,9.8,9.89,9.89,220500,GOBI,2160900.0,0.004060913705583813
3,2021-07-02,9.8,9.907,9.8,9.9,9.9,40900,GOBI,400820.0,0.0010111223458038054
4,2021-07-06,9.95,10.0,9.85,9.86,9.86,12500,GOBI,124374.99999999999,-0.0040404040404041774
5,2021-07-07,9.85,9.95,9.85,9.95,9.95,1700,GOBI,16745.0,0.009127789046653234
6,2021-07-08,9.94,10.03,9.94,9.98,9.98,30700,GOBI,305158.0,0.0030150753768845018
7,2021-07-09,9.98,9.98,9.98,9.98,9.98,2500,GOBI,24950.0,0.0
8,2021-07-12,10.04,10.05,9.99,10.05,10.05,36500,GOBI,366459.99999999994,0.007014028056112176
9,2021-07-13,9.93,9.93,9.93,9.93,9.93,300,GOBI,2979.0,-0.01194029850746281
10,2021-07-14,9.97,9.97,9.97,9.97,9.97,300,GOBI,2991.0,0.004028197381671816
11,2021-07-15,9.85,9.85,9.85,9.85,9.85,1000,GOBI,9850.0,-0.012036108324975037
12,2021-07-16,9.85,9.85,9.85,9.85,9.85,100,GOBI,985.0,0.0
13,2021-07-19,9.85,9.86,9.82,9.82,9.82,1200,GOBI,11820.0,-0.003045685279187804
14,2021-07-20,9.82,9.82,9.82,9.82,9.82,100,GOBI,982.0,0.0
15,2021-07-21,9.85,9.85,9.85,9.85,9.85,600,GOBI,5910.0,0.003054989816700493
16,2021-07-22,9.92,9.92,9.85,9.85,9.85,3000,GOBI,29760.0,0.0
17,2021-07-23,9.88,9.94,9.851,9.94,9.94,3100,GOBI,30628.000000000004,0.009137055837563413
18,2021-07-26,9.94,9.94,9.94,9.94,9.94,0,GOBI,0.0,0.0
19,2021-07-27,9.94,9.94,9.94,9.94,9.94,0,GOBI,0.0,0.0
20,2021-07-28,9.81,9.81,9.8,9.8,9.8,800,GOBI,7848.0,-0.014084507042253391
21,2021-07-29,9.8,9.8,9.78,9.78,9.78,3500,GOBI,34300.0,-0.0020408163265307477
22,2021-07-30,9.751,9.751,9.751,9.751,9.751,2300,GOBI,22427.3,-0.0029652351738240768
23,2021-08-02,9.751,9.751,9.751,9.751,9.751,0,GOBI,0.0,0.0
24,2021-08-03,9.751,9.751,9.751,9.751,9.751,0,GOBI,0.0,0.0
25,2021-08-04,9.751,9.751,9.725,9.75,9.75,6100,GOBI,59481.1,-0.000102553584247711
26,2021-08-05,9.75,9.75,9.75,9.75,9.75,700,GOBI,6825.0,0.0
27,2021-08-06,9.75,9.75,9.75,9.75,9.75,0,GOBI,0.0,0.0
28,2021-08-09,9.7,9.7,9.7,9.7,9.7,1900,GOBI,18430.0,-0.005128205128205221
29,2021-08-10,9.7,9.7,9.61,9.65,9.65,12700,GOBI,123189.99999999999,-0.005154639175257603
30,2021-08-11,9.67,9.67,9.67,9.67,9.67,200,GOBI,1934.0,0.002072538860103501
31,2021-08-12,9.74,9.74,9.74,9.74,9.74,100,GOBI,974.0,0.007238883143743546
32,2021-08-13,9.75,9.75,9.62,9.67,9.67,1900,GOBI,18525.0,-0.007186858316221789
33,2021-08-16,9.63,9.68,9.63,9.68,9.68,3800,GOBI,36594.0,0.0010341261633919352
34,2021-08-17,9.65,9.68,9.65,9.68,9.68,4900,GOBI,47285.0,0.0
35,2021-08-18,9.65,9.68,9.62,9.68,9.68,9500,GOBI,91675.0,0.0
36,2021-08-19,9.68,9.7,9.63,9.63,9.63,12100,GOBI,117128.0,-0.005165289256198191
37,2021-08-20,9.63,9.63,9.62,9.63,9.63,2500,GOBI,24075.000000000004,0.0
38,2021-08-23,9.629,9.67,9.626,9.67,9.67,1900,GOBI,18295.1,0.004153686396676903
39,2021-08-24,9.62,9.62,9.62,9.62,9.62,300,GOBI,2885.9999999999995,-0.005170630816959787
40,2021-08-25,9.61,9.71,9.61,9.71,9.71,3900,GOBI,37479.0,0.00935550935550955
41,2021-08-26,9.71,9.71,9.71,9.71,9.71,0,GOBI,0.0,0.0
42,2021-08-27,9.66,9.66,9.61,9.61,9.61,1900,GOBI,18354.0,-0.010298661174047541
43,2021-08-30,9.61,9.61,9.61,9.61,9.61,0,GOBI,0.0,0.0
44,2021-08-31,9.65,9.65,9.65,9.65,9.65,200,GOBI,1930.0,0.0041623309053071544
45,2021-09-01,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
46,2021-09-02,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
47,2021-09-03,9.65,9.65,9.65,9.65,9.65,200,GOBI,1930.0,0.0
48,2021-09-07,9.641,9.641,9.641,9.641,9.641,800,GOBI,7712.8,-0.0009326424870467198
49,2021-09-08,9.65,9.65,9.64,9.64,9.64,500,GOBI,4825.0,-0.00010372368011613009
50,2021-09-09,9.64,9.64,9.64,9.64,9.64,0,GOBI,0.0,0.0
51,2021-09-10,9.7,9.71,9.64,9.71,9.71,4200,GOBI,40740.0,0.007261410788381717
52,2021-09-13,9.71,9.71,9.71,9.71,9.71,0,GOBI,0.0,0.0
53,2021-09-14,9.721,9.721,9.68,9.69,9.69,1300,GOBI,12637.3,-0.002059732234809597
54,2021-09-15,9.71,9.71,9.71,9.71,9.71,300,GOBI,2913.0000000000005,0.002063983488132193
55,2021-09-16,9.755,9.79,9.737,9.79,9.79,1400,GOBI,13657.000000000002,0.008238928939237722
56,2021-09-17,9.645,9.66,9.64,9.66,9.66,1200,GOBI,11574.0,-0.01327885597548506
57,2021-09-20,9.66,9.66,9.66,9.66,9.66,0,GOBI,0.0,0.0
58,2021-09-21,9.64,9.65,9.63,9.65,9.65,1400,GOBI,13496.0,-0.0010351966873706209
59,2021-09-22,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
60,2021-09-23,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
61,2021-09-24,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
62,2021-09-27,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
63,2021-09-28,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
64,2021-09-29,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
65,2021-09-30,9.65,9.65,9.65,9.65,9.65,0,GOBI,0.0,0.0
66,2021-10-01,9.65,9.65,9.65,9.65,9.65,18000,GOBI,173700.0,0.0
67,2021-10-04,9.645,9.67,9.645,9.67,9.67,2800,GOBI,27006.0,0.002072538860103501
68,2021-10-05,9.67,9.67,9.67,9.67,9.67,0,GOBI,0.0,0.0
69,2021-10-06,9.735,9.83,9.735,9.83,9.83,13800,GOBI,134343.0,0.016546018614270963
70,2021-10-07,9.83,9.83,9.83,9.83,9.83,0,GOBI,0.0,0.0
71,2021-10-08,9.83,9.83,9.83,9.83,9.83,0,GOBI,0.0,0.0
72,2021-10-11,9.8,9.84,9.672,9.78,9.78,1500,GOBI,14700.000000000002,-0.0050864699898270915
73,2021-10-12,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
74,2021-10-13,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
75,2021-10-14,9.67,9.73,9.67,9.73,9.73,1300,GOBI,12571.0,-0.005112474437627745
76,2021-10-15,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
77,2021-10-18,9.741,9.78,9.741,9.78,9.78,1200,GOBI,11689.199999999999,0.005138746145940232
78,2021-10-19,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
79,2021-10-20,9.65,9.78,9.63,9.78,9.78,2800,GOBI,27020.0,0.0
80,2021-10-21,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
81,2021-10-22,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
82,2021-10-25,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
83,2021-10-26,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
84,2021-10-27,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
85,2021-10-28,9.78,9.78,9.78,9.78,9.78,0,GOBI,0.0,0.0
86,2021-10-29,9.7,9.735,9.7,9.735,9.735,300,GOBI,2910.0,-0.004601226993865004
87,2021-11-01,9.735,9.735,9.735,9.735,9.735,0,GOBI,0.0,0.0
88,2021-11-02,9.7,9.7,9.64,9.64,9.64,500,GOBI,4850.0,-0.009758602978941822
89,2021-11-03,9.725,9.745,9.725,9.745,9.745,400,GOBI,3890.0,0.010892116182572575
90,2021-11-04,9.68,9.68,9.68,9.68,9.68,100,GOBI,968.0,-0.006670087224217469
91,2021-11-05,9.687,9.687,9.687,9.687,9.687,200,GOBI,1937.3999999999999,0.0007231404958676357
92,2021-11-08,9.7,9.715,9.7,9.7,9.7,14800,GOBI,143560.0,0.0013420047486321085
93,2021-11-09,9.68,9.78,9.68,9.78,9.78,11500,GOBI,111320.0,0.008247422680412342
94,2021-11-10,9.69,9.69,9.69,9.69,9.69,300,GOBI,2907.0,-0.009202453987730008
95,2021-11-11,9.69,9.69,9.69,9.69,9.69,0,GOBI,0.0,0.0
96,2021-11-12,9.691,9.76,9.691,9.76,9.76,11200,GOBI,108539.20000000001,0.007223942208462342
97,2021-11-15,9.76,9.76,9.76,9.76,9.76,0,GOBI,0.0,0.0
98,2021-11-16,9.76,9.76,9.76,9.76,9.76,0,GOBI,0.0,0.0
99,2021-11-17,9.73,9.73,9.73,9.73,9.73,300,GOBI,2919.0,-0.0030737704918032405
100,2021-11-18,9.74,9.74,9.72,9.72,9.72,1200,GOBI,11688.0,-0.0010277492291880241
101,2021-11-19,9.72,9.72,9.72,9.72,9.72,800,GOBI,7776.000000000001,0.0
102,2021-11-22,9.82,9.82,9.82,9.82,9.82,300,GOBI,2946.0,0.010288065843621297
103,2021-11-23,9.82,9.82,9.82,9.82,9.82,300,GOBI,2946.0,0.0
104,2021-11-24,9.72,9.76,9.69,9.74,9.74,7400,GOBI,71928.0,-0.008146639511201648
105,2021-11-26,9.73,9.82,9.73,9.82,9.82,3500,GOBI,34055.0,0.008213552361396204
106,2021-11-29,9.82,9.82,9.82,9.82,9.82,100,GOBI,982.0,0.0
107,2021-11-30,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
108,2021-12-01,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
109,2021-12-02,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
110,2021-12-03,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
111,2021-12-06,9.82,9.82,9.82,9.82,9.82,0,GOBI,0.0,0.0
112,2021-12-07,9.7,9.7,9.7,9.7,9.7,300,GOBI,2910.0,-0.012219959266802527
113,2021-12-08,9.82,9.82,9.82,9.82,9.82,100,GOBI,982.0,0.012371134020618735
114,2021-12-09,9.82,9.82,9.82,9.82,9.82,100,GOBI,982.0,0.0
115,2021-12-10,9.7,9.7,9.7,9.7,9.7,200,GOBI,1939.9999999999998,-0.012219959266802527
116,2021-12-13,9.7,9.7,9.7,9.7,9.7,0,GOBI,0.0,0.0
117,2021-12-14,9.7,9.7,9.7,9.7,9.7,4100,GOBI,39770.0,0.0
118,2021-12-15,9.7,9.7,9.7,9.7,9.7,700,GOBI,6789.999999999999,0.0
119,2021-12-16,9.73,9.73,9.73,9.73,9.73,300,GOBI,2919.0,0.0030927835051548502
120,2021-12-17,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
121,2021-12-20,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
122,2021-12-21,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
123,2021-12-22,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
124,2021-12-23,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
125,2021-12-27,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
126,2021-12-28,9.73,9.73,9.73,9.73,9.73,0,GOBI,0.0,0.0
127,2021-12-29,9.612,9.612,9.612,9.612,9.612,600,GOBI,5767.2,-0.012127440904419307
128,2021-12-30,9.61,9.61,9.61,9.61,9.61,500,GOBI,4805.0,-0.00020807324178118147
129,2021-12-31,9.66,9.67,9.66,9.66,9.66,900,GOBI,8694.0,0.005202913631633832
